Symbol,Company,Sector,Sub Sector
GRAPHITE,Graphite India Limited,Electronics,Electrodes - Graphite
GRASIM,Grasim Industries Limited,Diversified,Diversified
GRAVITA,Gravita India Limited,Metals,Metals - Non Ferrous - Others
GREAVESCOT,Greaves Cotton Limited,Engines,Engines
GREENLAM,Greenlam Industries Limited,Misc,Miscellaneous
GREENPLY,Greenply Industries Limited,Consumer Goods,Decoratives - Wood Based
GREENPOWER,Orient Green Power Company Limited,Power,Power - Generation/Distribution
GRINDWELL,Grindwell Norton Limited,Grinding Wheels,Abrasives/Grinding Wheels
GROBTEA,The Grob Tea Company Limited,,
GRPLTD,GRP Limited,Misc,Miscellaneous
GRUH,,Finance,Finance - Housing
GSCLCEMENT,Gujarat Sidhee Cement Limited,Cement,North India
GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
GSKCONS,,Food Processing,Food Processing - Dairy
GSPL,Gujarat State Petronet Limited,Petrochem,Petrochem - Others
GSS,GSS Infotech Limited,Computers,Computers - Software
GTL,GTL Limited,Telecom,Telecommunications - Equipment
GTLINFRA,GTL Infrastructure Limited,Telecom,Telecommunications - Equipment
GTNIND,GTN Industries Limited,Textiles,Textiles - Spinning - Cotton Blended
GTOFFSHORE,,Shipping,Shipping
GUFICBIO,Gufic Biosciences Limited,Pharmaceuticals,Pharmaceuticals
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
GUJAPOLLO,Gujarat Apollo Industries Limited,Engineering,Engineering - Heavy
GUJFLUORO,,Chemicals,Chemicals - Organic - Others
GUJGASLTD,Gujarat Gas Limited,Gas,Miscellaneous
GUJNRECOKE,,Coke,Coke/Metallurgical Coke
GUJNREDVR,,Coke,Coke/Metallurgical Coke
GULFOILLUB,Gulf Oil Lubricants India Limited,Chemicals,Chemicals - Others
GULFPETRO,GP Petroleums Limited,Chemicals,Chemicals - Others
GULPOLY,Gulshan Polyols Limited,Chemicals,Chemicals - Others
GVKPIL,GVK Power & Infrastructure Limited,Power,Power - Generation/Distribution
HANUNG,,Misc,Toys
HARITASEAT,Harita Seating Systems Limited,Auto Ancl,Auto Ancl - Others
HARRMALAYA,Harrisons  Malayalam Limited,Tea-Coffee,Plantations - Tea & Coffee
HATHWAY,Hathway Cable & Datacom Limited,Entertainment,Entertainment/Multi Media
HATSUN,Hatsun Agro Product Limited,Food Processing,Indian
HAVELLS,Havells India Limited,Electric,Electric Equipment - Switchgear/Circuit Breaker
HBLPOWER,HBL Power Systems Limited,Electric,Electric Equipment - General
HBSTOCK,,Finance,Finance - Leasing & Hire Purchase
HCC,Hindustan Construction Company Limited,Construction,Construction & Contracting - Civil
HCG,Healthcare Global Enterprises Limited,,
HCL-INSYS,HCL Infosystems Limited,Computers,Computers - Hardware
HCLTECH,HCL Technologies Limited,Computers,Computers - Software
HDFC,Housing Development Finance Corporation Limited,Finance,Finance - Housing
HDFCBANK,HDFC Bank Limited,Banks - Private,Finance - Banks - Private Sector
HDIL,Housing Development and Infrastructure Limited,Construction,Construction and Contracting - Real Estate
HEG,HEG Limited,Electronics,Electrodes - Graphite
HEIDELBERG,HeidelbergCement India Limited,Cement,Cement - Major
HERCULES,Hercules Hoists Limited,Engineering,Engineering - General
HERITGFOOD,Heritage Foods Limited,Food Processing,Food Processing - Dairy
HEROMOTOCO,Hero MotoCorp Limited,Auto,Auto - 2 & 3 Wheelers
HESTERBIO,Hester Biosciences Limited,Pharmaceuticals,Formulations
HEXATRADEX,Hexa Tradex Limited,Trading,Trading
HEXAWARE,Hexaware Technologies Limited,Computers,Computers - Software
HFCL,HFCL Limited,Telecom,Telecommunications - Equipment
HGS,Hinduja Global Solutions Limited,Computers,Software - Medium / Small
HIGHGROUND,High Ground Enterprise Limited,,
HIKAL,Hikal Limited,Pharmaceuticals,Pharmaceuticals
HIL,HIL Limited,Cement,Cement - Products/Building Materials
HILTON,Hilton Metal Forging Limited,Auto Ancl,Forgings
HIMATSEIDE,Himatsingka Seide Limited,Textiles,Textiles - Synthetic/Silk
