Symbol, Sector, Sub-sector,Company
ASIANHOTNR, Consumer Cyclical , Lodging,Asian Hotels (North) Limited
ASIANPAINT, Basic Materials , Specialty Chemicals,Asian Paints Limited
ASIANTILES, Industrials , Building Products & Equipment,Asian Granito India Limited
ASPINWALL, Consumer Defensive , Farm Products,Aspinwall and Company Limited
ASTEC, Basic Materials , Agricultural Inputs,Astec LifeSciences Limited
ASTERDM, Healthcare , Medical Care Facilities,Aster DM Healthcare Limited
ASTRAL, Industrials , Building Products & Equipment,Astral Poly Technik Limited
ASTRAMICRO, Technology , Communication Equipment,Astra Microwave Products Limited
ASTRAZEN, Healthcare , Drug Manufacturers-Specialty & Generic,AstraZeneca Pharma India Limited
ASTRON, Basic Materials , Paper & Paper Products,Astron Paper & Board Mill Limited
ATFL, Consumer Defensive , Packaged Foods,Agro Tech Foods Limited
ATLANTA, Industrials , Infrastructure Operations,Atlanta  Limited
ATLASCYCLE, Consumer Cyclical , Leisure,Atlas Cycles (Haryana) Limited
ATNINTER, Financial Services , Capital Markets,ATN International Limited
ATUL, Basic Materials , Specialty Chemicals,Atul Limited
ATULAUTO, Consumer Cyclical , Auto Manufacturers,Atul Auto Limited
AUBANK, Financial Services , Banks-Regional,AU Small Finance Bank Limited
AURIONPRO, Technology , Software-Infrastructure,Aurionpro Solutions Limited
AUROPHARMA, Healthcare , Drug Manufacturers-Specialty & Generic,Aurobindo Pharma Limited
AUSOMENT, Financial Services , Capital Markets,Ausom Enterprise Limited
AUTOAXLES, Consumer Cyclical , Auto Parts,Automotive Axles Limited
AUTOIND, Consumer Cyclical , Auto Parts,Autoline Industries Limited
AUTOLITIND, Consumer Cyclical , Auto Parts,Autolite (India) Limited
AVADHSUGAR, Consumer Defensive , Confectioners,Avadh Sugar & Energy Limited
AVANTIFEED, Consumer Defensive , Packaged Foods,Avanti Feeds Limited
AVTNPL, Basic Materials , Specialty Chemicals,AVT Natural Products Limited
AXISBANK, Financial Services , Banks-Regional,Axis Bank Limited
AXISCADES, Industrials , Engineering & Construction,AXISCADES Engineering Technologies Limited
AYMSYNTEX, Consumer Cyclical , Textile Manufacturing,AYM Syntex Limited
BAFNAPH, Healthcare , Drug Manufacturers-Specialty & Generic,Bafna Pharmaceuticals Limited
BAGFILMS, Communication Services , Broadcasting,B.A.G Films and Media Limited
BAJAJ-AUTO, Consumer Cyclical , Auto Manufacturers,Bajaj Auto Limited
BAJAJCON, Consumer Defensive , Household & Personal Products,Bajaj Consumer Care Limited
BAJAJELEC, Utilities , Utilities-Independent Power Producers,Bajaj Electricals Limited
BAJAJFINSV, Financial Services , Insurance-Diversified,Bajaj Finserv Limited
BAJAJHIND, Consumer Defensive , Confectioners,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG, Financial Services , Asset Management,Bajaj Holdings & Investment Limited
BAJFINANCE, Financial Services , Credit Services,Bajaj Finance Limited
BALAJITELE, Communication Services , Entertainment,Balaji Telefilms Limited
BALAMINES, Basic Materials , Specialty Chemicals,Balaji Amines Limited
BALAXI,  , ,Balaxi Ventures Limited
BALKRISHNA, Consumer Cyclical , Packaging & Containers,Balkrishna Paper Mills Limited
BALKRISIND, Consumer Cyclical , Auto Parts,Balkrishna Industries Limited
BALLARPUR, Basic Materials , Paper & Paper Products,Ballarpur Industries Limited
BALMLAWRIE, Industrials , Conglomerates,Balmer Lawrie & Company Limited
BALPHARMA, Healthcare , Drug Manufacturers-Specialty & Generic,Bal Pharma Limited
BALRAMCHIN, Consumer Defensive , Confectioners,Balrampur Chini Mills Limited
BANARBEADS, Consumer Cyclical , Footwear & Accessories,Banaras Beads Limited
BANARISUG, Consumer Defensive , Confectioners,Bannari Amman Sugars Limited
BANCOINDIA, Consumer Cyclical , Auto Parts,Banco Products (I) Limited
BANDHANBNK, Financial Services , Banks-Regional,Bandhan Bank Limited
BANG, Consumer Cyclical , Apparel Manufacturing,Bang Overseas Limited
BANKBARODA, Financial Services , Banks-Regional,Bank of Baroda
BANKINDIA, Financial Services , Banks-Regional,Bank of India
BANSWRAS, Consumer Cyclical , Textile Manufacturing,Banswara Syntex Limited
BARTRONICS, Technology , Information Technology Services,Bartronics India Limited
BASF, Basic Materials , Chemicals,BASF India Limited
BASML, Consumer Cyclical , Textile Manufacturing,Bannari Amman Spinning Mills Limited
BATAINDIA, Consumer Cyclical , Footwear & Accessories,Bata India Limited
BAYERCROP, Basic Materials , Agricultural Inputs,Bayer Cropscience Limited
BBL, Industrials , Electrical Equipment & Parts,Bharat Bijlee Limited
BBTC, Industrials , Conglomerates,Bombay Burmah Trading Corporation Limited
BCG, Technology , Internet Information Providers,Brightcom Group Limited
BCP, Industrials , Electrical Equipment & Parts,B.C. Power Controls Ltd
BDL, Industrials , Aerospace & Defense,Bharat Dynamics Limited
BEARDSELL, Industrials , Building Products & Equipment,Beardsell Limited
BEDMUTHA, Basic Materials , Steel,Bedmutha Industries Limited
BEL, Industrials , Aerospace & Defense,Bharat Electronics Limited
BEML, Industrials , Specialty Industrial Machinery,BEML Limited
BEPL, Basic Materials , Chemicals,Bhansali Engineering Polymers Limited
BERGEPAINT, Basic Materials , Specialty Chemicals,Berger Paints (I) Limited
BFINVEST, Financial Services , Asset Management,BF Investment Limited
BFUTILITIE, Industrials , Engineering & Construction,BF Utilities Limited
BGRENERGY, Industrials , Engineering & Construction,BGR Energy Systems Limited
BHAGERIA, Basic Materials , Specialty Chemicals,Bhageria Industries Limited
BHAGYANGR, Industrials , Electrical Equipment & Parts,Bhagyanagar India Limited
BHAGYAPROP, Real Estate , Real Estate Services,Bhagyanagar Properties Limited
BHANDARI, Consumer Cyclical , Apparel Manufacturing,Bhandari Hosiery Exports Limited
BHARATFORG, Consumer Cyclical , Auto Parts,Bharat Forge Limited
BHARATGEAR, Consumer Cyclical , Auto Parts,Bharat Gears Limited
BHARATRAS, Basic Materials , Agricultural Inputs,Bharat Rasayan Limited
BHARATWIRE, Basic Materials , Steel,Bharat Wire Ropes Limited
BHARTIARTL, Communication Services , Telecom Services,Bharti Airtel Limited
BHEL, Industrials , Specialty Industrial Machinery,Bharat Heavy Electricals Limited
BIGBLOC, Industrials , Building Products & Equipment,Bigbloc Construction Limited
BIL, Consumer Cyclical , Footwear & Accessories,Bhartiya International Limited
BILENERGY, Industrials , Metal Fabrication,Bil Energy Systems Limited
BINANIIND, Basic Materials , Building Materials,Binani Industries Limited
BINDALAGRO, Financial Services , Asset Management,Oswal Chemicals & Fertilizers Limited
BIOCON, Healthcare , Biotechnology,Biocon Limited
BIOFILCHEM, Healthcare , Drug Manufacturers-Specialty & Generic,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE, Technology , Communication Equipment,Birla Cable Limited
BIRLACORPN, Basic Materials , Building Materials,Birla Corporation Limited
BIRLAMONEY, Financial Services , Capital Markets,Aditya Birla Money Limited
BIRLATYRE, Consumer Cyclical , Auto Parts,Birla Tyres Limited
BKMINDST, Consumer Cyclical , Packaging & Containers,Bkm Industries Limited
BLBLIMITED, Financial Services , Capital Markets,BLB Limited
BLISSGVS, Healthcare , Drug Manufacturers-Specialty & Generic,Bliss GVS Pharma Limited
BLKASHYAP, Industrials , Engineering & Construction,B. L. Kashyap and Sons Limited
BLS, Industrials , Specialty Business Services,BLS International Services Limited
BLUEBLENDS, Consumer Cyclical , Textile Manufacturing,Blue Blends (I) Limited
BLUECHIP, Financial Services , Capital Markets,Blue Chip India Limited
BLUECOAST, Consumer Cyclical , Lodging,Blue Coast Hotels Limited
BLUEDART, Industrials , Integrated Freight & Logistics,Blue Dart Express Limited
BLUESTARCO, Industrials , Specialty Industrial Machinery,Blue Star Limited
BODALCHEM, Basic Materials , Specialty Chemicals,Bodal Chemicals Limited
BOMDYEING, Real Estate , Real Estate Services,Bombay Dyeing & Mfg Company Limited
BORORENEW, Consumer Cyclical , Packaging & Containers,BOROSIL RENEWABLES LIMITED
BOSCHLTD, Consumer Cyclical , Auto Parts,Bosch Limited
BPCL, Energy , Oil & Gas Refining & Marketing,Bharat Petroleum Corporation Limited
BPL, Technology , Consumer Electronics,BPL Limited
BRFL, Consumer Cyclical , Textile Manufacturing,Bombay Rayon Fashions Limited
BRIGADE, Real Estate , Real Estate-Development,Brigade Enterprises Limited
BRITANNIA, Consumer Defensive , Packaged Foods,Britannia Industries Limited
BRNL, Industrials , Infrastructure Operations,Bharat Road Network Limited
BROOKS, Healthcare , Drug Manufacturers-Specialty & Generic,Brooks Laboratories Limited
BSE, Financial Services , Financial Data & Stock Exchanges,BSE Limited
BSELINFRA, Real Estate , Real Estate-Development,BSEL Infrastructure Realty Limited
BSL, Consumer Cyclical , Textile Manufacturing,BSL Limited
BSOFT, Technology , Information Technology Services,BIRLASOFT LIMITED
BURNPUR, Basic Materials , Building Materials,Burnpur Cement Limited
BUTTERFLY, Technology , Consumer Electronics,Butterfly Gandhimathi Appliances Limited
BVCL, Basic Materials , Building Materials,Barak Valley Cements Limited
BYKE, Consumer Cyclical , Lodging,The Byke Hospitality Ltd
