Symbol, Sector, Sub-sector,Company
KANANIIND,Consumer Cyclical,Luxury Goods,Kanani Industries Limited
KANORICHEM,Basic Materials,Chemicals,Kanoria Chemicals & Industries Limited
KANSAINER,Basic Materials,Specialty Chemicals,Kansai Nerolac Paints Limited
KARDA,Real Estate,Real Estate-Development,Karda Constructions Limited
KARMAENG,Utilities,Utilities-Renewable,Karma Energy Limited
KARURVYSYA,Financial Services,Banks-Regional,Karur Vysya Bank Limited
KAUSHALYA,Industrials,Engineering & Construction,Kaushalya Infrastructure Development Corporation Limited
KAYA,Consumer Defensive,Household & Personal Products,Kaya Limited
KCP,Basic Materials,Building Materials,KCP Limited
KCPSUGIND,Consumer Defensive,Confectioners,KCP Sugar and Industries Corporation Limited
KDDL,Consumer Cyclical,Luxury Goods,KDDL Limited
KEC,Industrials,Engineering & Construction,KEC International Limited
KECL,Industrials,Specialty Industrial Machinery,Kirloskar Electric Company Limited
KEI,Industrials,Electrical Equipment & Parts,KEI Industries Limited
KELLTONTEC,Technology,Software-Application,Kellton Tech Solutions Limited
KENNAMET,Industrials,Specialty Industrial Machinery,Kennametal India Limited
KERNEX,Technology,Software-Application,Kernex Microsystems (India) Limited
KESORAMIND,Basic Materials,Building Materials,Kesoram Industries Limited
KEYFINSERV,Financial Services,Capital Markets,Keynote Financial Services Limited
KGL,Consumer Defensive,Farm Products,Karuturi Global Limited
KHADIM,Consumer Cyclical,Footwear & Accessories,Khadim India Limited
KHANDSE,Financial Services,Capital Markets,Khandwala Securities Limited
KICL,Financial Services,Asset Management,Kalyani Investment Company Limited
KILITCH,Healthcare,Drug Manufacturers-General,Kilitch Drugs (India) Limited
KINGFA,Basic Materials,Specialty Chemicals,Kingfa Science & Technology (India) Limited
KIOCL,Basic Materials,Steel,KIOCL Limited
KIRIINDUS,Basic Materials,Specialty Chemicals,Kiri Industries Limited
KIRLFER,Industrials,Metal Fabrication,Kirloskar Ferrous Industries Ltd
KIRLOSBROS,Industrials,Specialty Industrial Machinery,Kirloskar Brothers Limited
KIRLOSENG,Industrials,Specialty Industrial Machinery,Kirloskar Oil Engines Limited
KIRLOSIND,Industrials,Metal Fabrication,Kirloskar Industries Limited
KITEX,Consumer Cyclical,Apparel Manufacturing,Kitex Garments Limited
KKCL,Consumer Cyclical,Apparel Manufacturing,Kewal Kiran Clothing Limited
KMSUGAR,Consumer Defensive,Confectioners,K.M.Sugar Mills Limited
KNRCON,Industrials,Engineering & Construction,KNR Constructions Limited
KOHINOOR,Consumer Defensive,Packaged Foods,Kohinoor Foods Limited
KOKUYOCMLN,Industrials,Business Equipment & Supplies,Kokuyo Camlin Limited
KOLTEPATIL,Real Estate,Real Estate-Development,Kolte - Patil Developers Limited
KOPRAN,Healthcare,Drug Manufacturers-General,Kopran Limited
KOTAKBANK,Financial Services,Banks-Regional,Kotak Mahindra Bank Limited
KOTARISUG,Consumer Defensive,Confectioners,Kothari Sugars And Chemicals Limited
KOTHARIPET,Basic Materials,Specialty Chemicals,Kothari Petrochemicals Limited
KOTHARIPRO,Industrials,Conglomerates,Kothari Products Limited
KPITTECH,Technology,Information Technology Services,KPIT Technologies Limited
KPRMILL,Consumer Cyclical,Apparel Manufacturing,K.P.R. Mill Limited
KRBL,Consumer Defensive,Packaged Foods,KRBL Limited
KREBSBIO,Healthcare,Drug Manufacturers-Specialty & Generic,Krebs Biochemicals and Industries Limited
KRIDHANINF,Basic Materials,Steel,Kridhan Infra Limited
KRISHANA,Basic Materials,Agricultural Inputs,Krishana Phoschem Limited
KSB,Industrials,Specialty Industrial Machinery,Ksb Limited
KSCL,Consumer Defensive,Farm Products,Kaveri Seed Company Limited
KSERASERA,Communication Services,Entertainment,KSS Limited
KSK,Utilities,Utilities-Regulated Electric,KSK Energy Ventures Limited
KSL,Basic Materials,Steel,Kalyani Steels Limited
KTKBANK,Financial Services,Banks-Regional,The Karnataka Bank Limited
KUANTUM,Basic Materials,Paper & Paper Products,Kuantum Papers Limited
KWALITY,Consumer Defensive,Packaged Foods,kwality limited
L&TFH,Financial Services,Credit Services,L&T Finance Holdings Limited
LAKPRE,Industrials,Tools & Accessories,Lakshmi Precision Screws Limited
LAKSHVILAS,Financial Services,Banks-Regional,Lakshmi Vilas Bank Limited
LALPATHLAB,Healthcare,Diagnostics & Research,Dr. Lal Path Labs Ltd.
LAMBODHARA,Consumer Cyclical,Textile Manufacturing,Lambodhara Textiles Limited
LAOPALA,Consumer Cyclical,Furnishings Fixtures & Appliances,La Opala RG Limited
LASA,Healthcare,Drug Manufacturers-Specialty & Generic,Lasa Supergenerics Limited
LAURUSLABS,Healthcare,Drug Manufacturers-Specialty & Generic,Laurus Labs Limited
LAXMIMACH,Industrials,Specialty Industrial Machinery,Lakshmi Machine Works Limited
LEMONTREE,Consumer Cyclical,Lodging,Lemon Tree Hotels Limited
LFIC,Financial Services,Asset Management,Lakshmi Finance & Industrial Corporation Limited
LGBBROSLTD,Consumer Cyclical,Auto Parts,LG Balakrishnan & Bros Limited
LGBFORGE,Industrials,Metal Fabrication,LGB Forge Limited
LIBAS,Consumer Cyclical,Apparel Manufacturing,Libas Designs Limited
LIBERTSHOE,Consumer Cyclical,Footwear & Accessories,Liberty Shoes Limited
LICHSGFIN,Financial Services,Mortgage Finance,LIC Housing Finance Limited
LINCOLN,Healthcare,Drug Manufacturers-Specialty & Generic,Lincoln Pharmaceuticals Limited
LINCPEN,Industrials,Business Equipment & Supplies,Linc Pen & Plastics Limited
LINDEINDIA,Basic Materials,Specialty Chemicals,Linde India Limited
LOKESHMACH,Industrials,Specialty Industrial Machinery,Lokesh Machines Limited
LOTUSEYE,Healthcare,Medical Care Facilities,Lotus Eye Hospital and Institute Limited
LOVABLE,Consumer Cyclical,Apparel Manufacturing,Lovable Lingerie Limited
LPDC,Real Estate,Real Estate Services,Landmark Property Development Company Limited
LSIL,Industrials,Specialty Industrial Machinery,Lloyds Steels Industries Limited
LT,Industrials,Engineering & Construction,Larsen & Toubro Limited
LTI,Technology,Information Technology Services,Larsen & Toubro Infotech Limited
LTTS,Technology,Information Technology Services,L&T Technology Services Limited
LUMAXIND,Consumer Cyclical,Auto Parts,Lumax Industries Limited
LUMAXTECH,Consumer Cyclical,Auto Parts,Lumax Auto Technologies Limited
LUPIN,Healthcare,Drug Manufacturers-Specialty & Generic,Lupin Limited
LUXIND,Consumer Cyclical,Apparel Manufacturing,Lux Industries Limited
LYKALABS,Healthcare,Biotechnology,Lyka Labs Limited
LYPSAGEMS,Consumer Cyclical,Luxury Goods,Lypsa Gems & Jewellery Limited
M&M,Consumer Cyclical,Auto Manufacturers,Mahindra & Mahindra Limited
M&MFIN,Financial Services,Credit Services,Mahindra & Mahindra Financial Services Limited
MAANALU,Basic Materials,Aluminum,Maan Aluminium Limited
MADHAV,Industrials,Building Products & Equipment,Madhav Marbles and Granites Limited
MADHUCON,Industrials,Engineering & Construction,Madhucon Projects Limited
MADRASFERT,Basic Materials,Agricultural Inputs,Madras Fertilizers Limited
MAGADSUGAR,Consumer Defensive,Confectioners,Magadh Sugar & Energy Limited
MAGMA,Financial Services,Credit Services,Magma Fincorp Limited
MAGNUM,Basic Materials,Paper & Paper Products,Magnum Ventures Limited
MAHABANK,Financial Services,Banks-Regional,Bank of Maharashtra
MAHAPEXLTD,Financial Services,Credit Services,Maha Rashtra Apex Corporation Limited
MAHASTEEL,Basic Materials,Steel,Mahamaya Steel Industries Limited
MAHEPC,Industrials,Farm & Heavy Construction Machinery,Mahindra EPC Irrigation Limited
MAHESHWARI,Industrials,Integrated Freight & Logistics,Maheshwari Logistics Limited
MAHINDCIE,Consumer Cyclical,Auto Parts,Mahindra CIE Automotive Limited
MAHLIFE,Real Estate,Real Estate-Development,Mahindra Lifespace Developers Limited
MAHLOG,Industrials,Integrated Freight & Logistics,Mahindra Logistics Limited
MAHSCOOTER,Consumer Cyclical,Auto Parts,Maharashtra Scooters Limited
MAHSEAMLES,Basic Materials,Steel,Maharashtra Seamless Limited
MAITHANALL,Basic Materials,Steel,Maithan Alloys Limited
MAJESCO,Technology,Information Technology Services,Majesco Limited
MALUPAPER,Basic Materials,Paper & Paper Products,Malu Paper Mills Limited
MANAKALUCO,Basic Materials,Aluminum,Manaksia Aluminium Company Limited
MANAKCOAT,Industrials,Metal Fabrication,Manaksia Coated Metals & Industries Limited
MANAKSIA,Industrials,Metal Fabrication,Manaksia Limited
MANAKSTEEL,Basic Materials,Steel,Manaksia Steels Limited
MANALIPETC,Basic Materials,Specialty Chemicals,Manali Petrochemicals Limited
MANAPPURAM,Financial Services,Credit Services,Manappuram Finance Limited
MANGALAM,Healthcare,Drug Manufacturers-Specialty & Generic,Mangalam Drugs And Organics Limited
MANGCHEFER,Basic Materials,Agricultural Inputs,Mangalore Chemicals & Fertilizers Limited
MANGLMCEM,Basic Materials,Building Materials,Mangalam Cement Limited
MANGTIMBER,Basic Materials,Lumber & Wood Production,Mangalam Timber Products Limited
MANINDS,Basic Materials,Steel,Man Industries (India) Limited
MANINFRA,Industrials,Engineering & Construction,Man Infraconstruction Limited
MANPASAND,Consumer Defensive,Beverages-Non-Alcoholic,Manpasand Beverages Limited
MANUGRAPH,Industrials,Specialty Industrial Machinery,Manugraph India Limited
MARALOVER,Consumer Cyclical,Textile Manufacturing,Maral Overseas Limited
MARATHON,Real Estate,Real Estate-Development,Marathon Nextgen Realty Limited
MARICO,Consumer Defensive,Household & Personal Products,Marico Limited
MARKSANS,Healthcare,Drug Manufacturers-General,Marksans Pharma Limited
MARUTI,Consumer Cyclical,Auto Manufacturers,Maruti Suzuki India Limited
MASFIN,Financial Services,Credit Services,MAS Financial Services Limited
MASKINVEST,Financial,Investment Brokerage - National,Mask Investments Limited
MASTEK,Technology,Information Technology Services,Mastek Limited
MATRIMONY,Communication Services,Internet Content & Information,Matrimony.Com Limited
MAWANASUG,Consumer Defensive,Confectioners,Mawana Sugars Limited
MAXINDIA,Healthcare,Medical Care Facilities,Max India Limited
MAXVIL,Consumer Cyclical,Packaging & Containers,Max Ventures and Industries Limited
MAYURUNIQ,Consumer Cyclical,Textile Manufacturing,Mayur Uniquoters Ltd
MAZDA,Industrials,Specialty Industrial Machinery,Mazda Limited
MBAPL,Basic Materials,Agricultural Inputs,Madhya Bharat Agro Products Limited
MBECL,Industrials,Engineering & Construction,Mcnally Bharat Engineering Company Limited
MBLINFRA,Industrials,Engineering & Construction,MBL Infrastructures Limited
MCDHOLDING,Financial Services,Capital Markets,McDowell Holdings Limited
MCDOWELL-N,Consumer Defensive,Beverages-Wineries & Distilleries,United Spirits Limited
MCLEODRUSS,Consumer Defensive,Packaged Foods,Mcleod Russel India Limited
MCX,Financial Services,Financial Data & Stock Exchanges,Multi Commodity Exchange of India Limited
MEGASOFT,Technology,Software-Application,Megasoft Limited
MEGH,Basic Materials,Agricultural Inputs,Meghmani Organics Limited
MELSTAR,Technology,Software-Application,Melstar Information Technologies Limited
MENONBE,Consumer Cyclical,Auto Parts,Menon Bearings Limited
MEP,Industrials,Infrastructure Operations,MEP Infrastructure Developers Limited
MERCATOR,Energy,Thermal Coal,Mercator Limited
METALFORGE,Industrials,Metal Fabrication,Metalyst Forgings Limited
METKORE,Basic Materials,Other Industrial Metals & Mining,Metkore Alloys & Industries Limited
METROPOLIS,Healthcare,Diagnostics & Research,Metropolis Healthcare Limited
MFSL,Financial Services,Insurance-Life,Max Financial Services Limited
MGL,Utilities,Utilities-Regulated Gas,Mahanagar Gas Limited
MHRIL,Consumer Cyclical,Resorts & Casinos,Mahindra Holidays & Resorts India Limited
MIC,Technology,Electronic Components,MIC Electronics Limited
MIDHANI,Basic Materials,Steel,Mishra Dhatu Nigam Limited
MINDACORP,Consumer Cyclical,Auto Parts,Minda Corporation Limited
MINDAIND,Consumer Cyclical,Auto Parts,Minda Industries Limited
MINDTECK,Technology,Information Technology Services,Mindteck (India) Limited
MINDTREE,Technology,Information Technology Services,MindTree Limited
MIRCELECTR,Consumer Cyclical,Furnishings Fixtures & Appliances,MIRC Electronics Limited
MIRZAINT,Consumer Cyclical,Footwear & Accessories,Mirza International Limited
MITTAL,Consumer Cyclical,Textile Manufacturing,Mittal Life Style Limited
MMFL,Industrials,Metal Fabrication,MM Forgings Limited
MMP,Basic Materials,Aluminum,MMP Industries Limited
MMTC,Industrials,Conglomerates,MMTC Limited
MODIRUBBER,Real Estate,Real Estate Services,Modi Rubber Limited
MOHITIND,Consumer Cyclical,Textile Manufacturing,Mohit Industries Limited
MOHOTAIND,Consumer Cyclical,Textile Manufacturing,Mohota Industries Limited
MOIL,Basic Materials,Other Industrial Metals & Mining,MOIL Limited
MOLDTECH,Industrials,Engineering & Construction,Mold-Tek Technologies Limited
MOLDTKPAC,Consumer Cyclical,Packaging & Containers,Mold-Tek Packaging Limited
MONTECARLO,Consumer Cyclical,Apparel Manufacturing,Monte Carlo Fashions Limited
MORARJEE,Consumer Cyclical,Textile Manufacturing,Morarjee Textiles Limited
MOREPENLAB,Healthcare,Drug Manufacturers-Specialty & Generic,Morepen Laboratories Limited
MOTHERSUMI,Consumer Cyclical,Auto Parts,Motherson Sumi Systems Limited
MOTILALOFS,Financial Services,Capital Markets,Motilal Oswal Financial Services Limited
MOTOGENFIN,Real Estate,Real Estate-Diversified,The Motor & General Finance Limited
MPHASIS,Technology,Information Technology Services,MphasiS Limited
MPSLTD,Communication Services,Publishing,MPS Limited
MRF,Consumer Cyclical,Auto Parts,MRF Limited
MRO-TEK,Technology,Communication Equipment,MRO-TEK Realty Limited
MRPL,Energy,Oil & Gas Refining & Marketing,Mangalore Refinery and Petrochemicals Limited
MSPL,Basic Materials,Steel,MSP Steel & Power Limited
MSTCLTD,Industrials,Conglomerates,Mstc Limited
MTEDUCARE,Consumer Defensive,Education & Training Services,MT Educare Limited
MTNL,Communication Services,Telecom Services,Mahanagar Telephone Nigam Limited
MUKANDENGG,Industrials,Engineering & Construction,Mukand Engineers Limited
MUKANDLTD,Basic Materials,Steel,Mukand Limited
MUKTAARTS,Communication Services,Entertainment,Mukta Arts Limited
MUNJALAU,Consumer Cyclical,Auto Parts,Munjal Auto Industries Limited
MUNJALSHOW,Consumer Cyclical,Auto Parts,Munjal Showa Limited
MURUDCERA,Industrials,Building Products & Equipment,Murudeshwar Ceramics Limited
MUTHOOTCAP,Financial Services,Credit Services,Muthoot Capital Services Limited
MUTHOOTFIN,Financial Services,Credit Services,Muthoot Finance Limited
NACLIND,Basic Materials,Agricultural Inputs,NACL Industries Limited
NAGAFERT,Basic Materials,Agricultural Inputs,Nagarjuna Fertilizers and Chemicals Limited
NAGREEKCAP,Financial Services,Capital Markets,Nagreeka Capital & Infrastructure Limited
NAGREEKEXP,Consumer Cyclical,Textile Manufacturing,Nagreeka Exports Limited
NAHARCAP,Financial Services,Capital Markets,Nahar Capital and Financial Services Limited
NAHARINDUS,Consumer Cyclical,Textile Manufacturing,Nahar Industrial Enterprises Limited
NAHARPOLY,Consumer Cyclical,Packaging & Containers,Nahar Poly Films Limited
NAHARSPING,Consumer Cyclical,Textile Manufacturing,Nahar Spinning Mills Limited
NAM-INDIA,Financial Services,Asset Management,Nippon Life India Asset Management Limited
NATCOPHARM,Healthcare,Drug Manufacturers-Specialty & Generic,Natco Pharma Limited
NATHBIOGEN,Basic Materials,Agricultural Inputs,Nath Bio-Genes (India) Limited
NATIONALUM,Basic Materials,Aluminum,National Aluminium Company Limited
NATNLSTEEL,Basic Materials,Steel,National Steel And Agro Industries Limited
NAUKRI,Communication Services,Internet Content & Information,Info Edge (India) Limited
NAVINFLUOR,Basic Materials,Chemicals,Navin Fluorine International Limited
NAVKARCORP,Industrials,Integrated Freight & Logistics,Navkar Corporation Limited
NAVNETEDUL,Communication Services,Publishing,Navneet Education Limited
NBCC,Industrials,Engineering & Construction,NBCC (India) Limited
NBIFIN,Financial Services,Capital Markets,N. B. I. Industrial Finance Company Limited
NBVENTURES,Utilities,Utilities-Regulated Electric,Nava Bharat Ventures Limited
NCC,Industrials,Engineering & Construction,NCC Limited
NCLIND,Basic Materials,Building Materials,NCL Industries Limited
NDGL,Financial Services,Capital Markets,Naga Dhunseri Group Limited
NDL,Consumer Cyclical,Textile Manufacturing,Nandan Denim Limited
NDTV,Communication Services,Broadcasting,New Delhi Television Limited
NECCLTD,Industrials,Trucking,North Eastern Carrying Corporation Limited
NECLIFE,Healthcare,Drug Manufacturers-Specialty & Generic,Nectar Lifesciences Limited
NELCAST,Industrials,Metal Fabrication,Nelcast Limited
NELCO,Technology,Communication Equipment,NELCO Limited
NEOGEN,Basic Materials,Specialty Chemicals,Neogen Chemicals Limited
NESCO,Industrials,Specialty Business Services,Nesco Limited
NESTLEIND,Consumer Defensive,Packaged Foods,Nestle India Limited
NETWORK18,Communication Services,Broadcasting,Network18 Media & Investments Limited
NEULANDLAB,Healthcare,Drug Manufacturers-Specialty & Generic,Neuland Laboratories Limited
NEWGEN,Technology,Software-Application,Newgen Software Technologies Limited
NEXTMEDIA,Communication Services,Publishing,Next Mediaworks Limited
NFL,Basic Materials,Agricultural Inputs,National Fertilizers Limited
NH,Healthcare,Medical Care Facilities,Narayana Hrudayalaya Ltd.
NHPC,Utilities,Utilities-Renewable,NHPC Limited
NIACL,Financial Services,Insurance-Diversified,The New India Assurance Company Limited
NIBL,Industrials,Tools & Accessories,NRB Industrial Bearings Limited
NIITLTD,Consumer Defensive,Education & Training Services,NIIT Limited
NIITTECH,Technology,Information Technology Services,NIIT Technologies Limited
NILAINFRA,Real Estate,Real Estate-Development,Nila Infrastructures Limited
NILASPACES,Real Estate,Real Estate-Development,Nila Spaces Limited
NILKAMAL,Consumer Cyclical,Furnishings Fixtures & Appliances,Nilkamal Limited
NIPPOBATRY,Industrials,Electrical Equipment & Parts,Indo-National Limited
NITCO,Industrials,Building Products & Equipment,Nitco Limited
NITINFIRE,Industrials,Security & Protection Services,Nitin Fire Protection Industries Limited
NITINSPIN,Consumer Cyclical,Textile Manufacturing,Nitin Spinners Limited
NKIND,Consumer Defensive,Farm Products,NK Industries Limited
NLCINDIA,Utilities,Utilities-Regulated Electric,NLC India Limited
NMDC,Basic Materials,Steel,NMDC Limited
NOCIL,Basic Materials,Chemicals,NOCIL Limited
NOIDATOLL,Industrials,Infrastructure Operations,Noida Toll Bridge Company Limited
NORBTEAEXP,Consumer Defensive,Farm Products,Norben Tea & Exports Limited
NRAIL,Basic Materials,Paper & Paper Products,N R Agarwal Industries Limited
NRBBEARING,Consumer Cyclical,Auto Parts,NRB Bearing Limited
NSIL,Financial Services,Asset Management,Nalwa Sons Investments Limited
NTL,Basic Materials,Steel,Neueon Towers Limited
NTPC,Utilities,Utilities-Independent Power Producers,NTPC Limited
NUCLEUS,Technology,Software-Application,Nucleus Software Exports Limited
NXTDIGITAL,Communication Services,Entertainment,NXTDIGITAL LIMITED
OAL,Basic Materials,Chemicals,Oriental Aromatics Limited
OBEROIRLTY,Real Estate,Real Estate-Development,Oberoi Realty Limited
OCCL,Basic Materials,Chemicals,Oriental Carbon & Chemicals Limited
OFSS,Technology,Software-Infrastructure,Oracle Financial Services Software Limited
OIL,Energy,Oil & Gas E&P,Oil India Limited
OILCOUNTUB,Energy,Oil & Gas Equipment & Services,Oil Country Tubular Limited
OISL,Basic Materials,Steel,OCL Iron and Steel Limited
OLECTRA,Consumer Cyclical,Auto Parts,Olectra Greentech Limited
OMAXAUTO,Consumer Cyclical,Auto Parts,Omax Autos Limited
OMAXE,Real Estate,Real Estate-Development,Omaxe Limited
OMKARCHEM,Basic Materials,Specialty Chemicals,Omkar Speciality Chemicals Limited
OMMETALS,Industrials,Engineering & Construction,OM Metals Infraprojects Limited
ONELIFECAP,Financial Services,Capital Markets,Onelife Capital Advisors Limited
ONEPOINT,Industrials,Specialty Business Services,One Point One Solutions Limited
ONGC,Energy,Oil & Gas Integrated,Oil & Natural Gas Corporation Limited
ONMOBILE,Communication Services,Telecom Services,OnMobile Global Limited
ONWARDTEC,Industrials,Engineering & Construction,Onward Technologies Limited
OPTIEMUS,Technology,Electronics & Computer Distribution,Optiemus Infracom Limited
OPTOCIRCUI,Healthcare,Medical Devices,Opto Circuits (India) Limited
ORBTEXP,Consumer Cyclical,Textile Manufacturing,Orbit Exports Limited
ORICONENT,Consumer Cyclical,Packaging & Containers,Oricon Enterprises Limited
ORIENTABRA,Basic Materials,Specialty Chemicals,Orient Abrasives Limited
ORIENTALTL,Industrials,Building Products & Equipment,Oriental Trimex Limited
ORIENTBELL,Industrials,Building Products & Equipment,Orient Bell Limited
ORIENTCEM,Basic Materials,Building Materials,Orient Cement Limited
ORIENTELEC,Consumer Cyclical,Furnishings Fixtures & Appliances,Orient Electric Limited
ORIENTHOT,Consumer Cyclical,Lodging,Oriental Hotels Limited
ORIENTLTD,Consumer Cyclical,Packaging & Containers,Orient Press Limited
ORIENTPPR,Basic Materials,Paper & Paper Products,Orient Paper & Industries Limited
ORIENTREF,Industrials,Metal Fabrication,Orient Refractories Limited
ORISSAMINE,Basic Materials,Other Industrial Metals & Mining,The Orissa Minerals Development Company Limited
ORTEL,Communication Services,Entertainment,Ortel Communications Limited
ORTINLABSS,Healthcare,Drug Manufacturers-Specialty & Generic,Ortin Laboratories Limited
OSWALAGRO,Real Estate,Real Estate-Development,Oswal Agro Mills Limited
PAEL,Industrials,Electrical Equipment & Parts,PAE Limited
PAGEIND,Consumer Cyclical,Apparel Manufacturing,Page Industries Limited
PAISALO,Financial Services,Credit Services,Paisalo Digital Limited
PALASHSECU,Consumer Defensive,Packaged Foods,Palash Securities Limited
PALREDTEC,Technology,Information Technology Services,Palred Technologies Limited
PANACEABIO,Healthcare,Biotechnology,Panacea Biotec Limited
PANACHE,Technology,Communication Equipment,Panache Digilife Limited
PANAMAPET,Energy,Oil & Gas Refining & Marketing,Panama Petrochem Limited
PAPERPROD,Consumer Cyclical,Packaging & Containers,Huhtamaki PPL Limited
PARABDRUGS,Healthcare,Drug Manufacturers-Specialty & Generic,Parabolic Drugs Limited
PARACABLES,Technology,Communication Equipment,Paramount Communications Limited
PARAGMILK,Consumer Defensive,Packaged Foods,Parag Milk Foods Limited
PARSVNATH,Real Estate,Real Estate-Diversified,Parsvnath Developers Limited
PATELENG,Industrials,Engineering & Construction,Patel Engineering Limited
PATINTLOG,Industrials,Integrated Freight & Logistics,Patel Integrated Logistics Limited
PATSPINLTD,Consumer Cyclical,Textile Manufacturing,Patspin India Limited
PCJEWELLER,Consumer Cyclical,Luxury Goods,PC Jeweller Limited
PDMJEPAPER,Basic Materials,Paper & Paper Products,Pudumjee Paper Products Limited
PDSMFL,Industrials,Specialty Business Services,PDS Multinational Fashions Limited
PEARLPOLY,Consumer Cyclical,Packaging & Containers,Pearl Polymers Limited
PEL,Healthcare,Drug Manufacturers-General,Piramal Enterprises Limited
PENIND,Industrials,Specialty Industrial Machinery,Pennar Industries Limited
PENINLAND,Real Estate,Real Estate-Development,Peninsula Land Limited
PERSISTENT,Technology,Software-Infrastructure,Persistent Systems Limited
PETRONET,Energy,Oil & Gas Refining & Marketing,Petronet LNG Limited
PFC,Financial Services,Credit Services,Power Finance Corporation Limited
PFIZER,Healthcare,Drug Manufacturers-General,Pfizer Limited
PFOCUS,Communication Services,Entertainment,Prime Focus Limited
PFS,Financial Services,Credit Services,PTC India Financial Services Limited
PGEL,Technology,Electronic Components,PG Electroplast Limited
PGHH,Consumer Defensive,Household & Personal Products,Procter & Gamble Hygiene and Health Care Limited
PGHL,Healthcare,Drug Manufacturers-Specialty & Generic,Procter & Gamble Health Limited
PGIL,Consumer Cyclical,Apparel Manufacturing,Pearl Global Industries Limited
PHILIPCARB,Basic Materials,Specialty Chemicals,Phillips Carbon Black Limited
PHOENIXLTD,Real Estate,Real Estate-Diversified,The Phoenix Mills Limited
PIDILITIND,Basic Materials,Specialty Chemicals,Pidilite Industries Limited
PIIND,Basic Materials,Agricultural Inputs,PI Industries Limited
PILANIINVS,Financial Services,Asset Management,Pilani Investment and Industries Corporation Limited
PILITA,Consumer Cyclical,Furnishings Fixtures & Appliances,PIL ITALICA LIFESTYLE LIMITED
PIONDIST,Consumer Defensive,Beverages-Wineries & Distilleries,Pioneer Distilleries Limited
PIONEEREMB,Consumer Cyclical,Textile Manufacturing,Pioneer Embroideries Limited
PITTIENG,Industrials,Metal Fabrication,Pitti Engineering Limited
PKTEA,Consumer Defensive,Farm Products,The Peria Karamalai Tea & Produce Company Limited
PLASTIBLEN,Basic Materials,Specialty Chemicals,Plastiblends India Limited
PNB,Financial Services,Banks-Regional,Punjab National Bank
PNBGILTS,Financial Services,Capital Markets,PNB Gilts Limited
PNBHOUSING,Financial Services,Mortgage Finance,PNB Housing Finance Limited
PNC,Communication Services,Entertainment,Pritish Nandy Communications Limited
PNCINFRA,Industrials,Engineering & Construction,PNC Infratech Limited
PODDARHOUS,Real Estate,Real Estate-Diversified,Poddar Housing and Development Limited
PODDARMENT,Basic Materials,Specialty Chemicals,Poddar Pigments Limited
POKARNA,Industrials,Building Products & Equipment,Pokarna Limited
POLYCAB,Industrials,Electrical Equipment & Parts,Polycab India Limited
POLYMED,Healthcare,Medical Instruments & Supplies,Poly Medicure Limited
POLYPLEX,Basic Materials,Specialty Chemicals,Polyplex Corporation Limited
PONNIERODE,Consumer Defensive,Confectioners,Ponni Sugars (Erode) Limited
POWERGRID,Utilities,Utilities-Regulated Electric,Power Grid Corporation of India Limited
POWERINDIA,Technology,Electronic Components,ABB Power Products and Systems India Limited
POWERMECH,Industrials,Engineering & Construction,Power Mech Projects Limited
PPAP,Consumer Cyclical,Auto Parts,PPAP Automotive Limited
PPL,Consumer Cyclical,Auto Parts,Prakash Pipes Limited
PRABHAT,Consumer Defensive,Packaged Foods,Prabhat Dairy Limited
PRADIP,Consumer Cyclical,Textile Manufacturing,Pradip Overseas Limited
PRAENG,Real Estate,Real Estate-Development,Prajay Engineers Syndicate Limited
PRAJIND,Industrials,Engineering & Construction,Praj Industries Limited
PRAKASH,Basic Materials,Steel,Prakash Industries Limited
PRAKASHSTL,Basic Materials,Steel,Prakash Steelage Limited
PRAXIS,Consumer Cyclical,Specialty Retail,Praxis Home Retail Limited
PRECAM,Consumer Cyclical,Auto Parts,Precision Camshafts Limited
PRECOT,Consumer Cyclical,Textile Manufacturing,Precot Meridian Limited
PRECWIRE,Basic Materials,Copper,Precision Wires India Limited
PREMEXPLN,Basic Materials,Specialty Chemicals,Premier Explosives Limited
PREMIER,Industrials,Specialty Industrial Machinery,Premier Limited
PREMIERPOL,Basic Materials,Specialty Chemicals,Premier Polyfilm Limited
PRESSMN,Communication Services,Advertising Agencies,Pressman Advertising Limited
PRESTIGE,Real Estate,Real Estate-Diversified,Prestige Estates Projects Limited
PRICOLLTD,Consumer Cyclical,Auto Parts,Pricol Limited
PRIMESECU,Financial Services,Capital Markets,Prime Securities Limited
PRINCEPIPE,Basic Materials,Specialty Chemicals,Prince Pipes And Fittings Limited
PROSEED,Basic Materials,Agricultural Inputs,Proseed India Limited
PROZONINTU,Real Estate,Real Estate-Diversified,Prozone Intu Properties Limited
PRSMJOHNSN,Basic Materials,Building Materials,Prism Johnson Limited
PSB,Financial Services,Banks-Regional,Punjab & Sind Bank
PSL,Industrials,Metal Fabrication,PSL Limited
PSPPROJECT,Industrials,Engineering & Construction,PSP Projects Limited
PTC,Utilities,Utilities-Independent Power Producers,PTC India Limited
PTL,Real Estate,Real Estate Services,PTL Enterprises Limited
PUNJABCHEM,Basic Materials,Chemicals,Punjab Chemicals & Crop Protection Limited
PUNJLLOYD,Industrials,Engineering & Construction,Punj Lloyd Limited
PURVA,Industrials,Engineering & Construction,Puravankara Limited
PVR,Communication Services,Entertainment,PVR Limited
QUESS,Industrials,Staffing & Employment Services,Quess Corp Limited
