Symbol, Sector, Sub-sector,Company,beta
CAPACITE, Industrials , Engineering & Construction,Capacit'e Infraprojects Limited,1.112969
CAPLIPOINT, Healthcare , Drug Manufacturers-Specialty & Generic,Caplin Point Laboratories Limited,0.311622
CAPTRUST, Financial Services , Credit Services,Capital Trust Limited,1.866614
CARBORUNIV, Industrials , Building Products & Equipment,Carborundum Universal Limited,0.6922769999999999
CAREERP, Consumer Defensive , Education & Training Services,Career Point Limited,0.452808
CARERATING, Financial Services , Financial Data & Stock Exchanges,CARE Ratings Limited,1.1599059999999999
CASTEXTECH, Consumer Cyclical , Auto Parts,Castex Technologies Limited,0.36037399999999997
CASTROLIND, Basic Materials , Specialty Chemicals,Castrol India Limited,0.6938369999999999
CCCL, Industrials , Engineering & Construction,Consolidated Construction Consortium Limited,1.00624
CCHHL, Consumer Cyclical , Resorts & Casinos,Country Club Hospitality & Holidays Limited,0.792511
CCL, Consumer Defensive , Packaged Foods,CCL Products (India) Limited,0.31630199999999997
CDSL, Financial Services , Capital Markets,Central Depository Services (India) Limited,0.450071
CEATLTD, Consumer Cyclical , Auto Parts,CEAT Limited,0.203198
CEBBCO, Industrials , Railroads,Commercial Engineers & Body Builders Co Limited,0.452028
CELEBRITY, Consumer Cyclical , Apparel Manufacturing,Celebrity Fashions Limited,1.043681
CENTENKA, Consumer Cyclical , Textile Manufacturing,Century Enka Limited,0.6926669999999999
CENTEXT, Basic Materials , Aluminum,Century Extrusions Limited,0.727379
CENTRALBK, Financial Services , Banks-Regional,Central Bank of India,1.01911
CENTRUM, Financial Services , Capital Markets,Centrum Capital Limited,0.593213
CENTUM, Technology , Electronic Components,Centum Electronics Limited,0.650156
CENTURYPLY, Consumer Cyclical , Furnishings Fixtures & Appliances,Century Plyboards (India) Limited,1.096723
CENTURYTEX, Basic Materials , Paper & Paper Products,Century Textiles & Industries Limited,0.957488
CERA, Industrials , Building Products & Equipment,Cera Sanitaryware Limited,0.37363399999999997
CEREBRAINT, Technology , Computer Hardware,Cerebra Integrated Technologies Limited,1.290561
CESC, Utilities , Utilities-Independent Power Producers,CESC Limited,1.3810449999999999
CGCL, Financial Services , Credit Services,Capri Global Capital Limited,0.317082
CGPOWER, Industrials , Electrical Equipment & Parts,CG Power and Industrial Solutions Limited,0.599453
CHAMBLFERT, Basic Materials , Agricultural Inputs,Chambal Fertilizers & Chemicals Limited,0.687207
CHEMBOND, Basic Materials , Specialty Chemicals,Chembond Chemicals Ltd,0.413026
CHEMFAB, Basic Materials , Specialty Chemicals,Chemfab Alkalis Limited,1.672009
CHENNPETRO, Energy , Oil & Gas Refining & Marketing,Chennai Petroleum Corporation Limited,0.657566
CHOLAFIN, Financial Services , Credit Services,Cholamandalam Investment and Finance Company Limited,0.564352
CHOLAHLDNG, Financial Services , Insurance-Diversified,Cholamandalam Financial Holdings Limited,0.964163
CHROMATIC, Basic Materials , Specialty Chemicals,Chromatic India Limited,0.900936
CIMMCO, Industrials , Railroads,Cimmco Limited,0.9602179999999999
CINELINE, Real Estate , Real Estate Services,Cineline India Limited,0.49687899999999996
CINEVISTA, Communication Services , Entertainment,Cinevista Limited,0.884945
CIPLA, Healthcare , Drug Manufacturers-General,Cipla Limited,0.429407
CLEDUCATE, Consumer Defensive , Education & Training Services,CL Educate Limited,1.414351
CLNINDIA, Basic Materials , Specialty Chemicals,Clariant Chemicals (India) Limited,0.934087
CMICABLES, Industrials , Electrical Equipment & Parts,CMI Limited,0.102184
CNOVAPETRO, Consumer Cyclical , Textile Manufacturing,CIL Nova Petrochemicals Limited,0.188377
COALINDIA, Energy , Thermal Coal,Coal India Limited,0.42589699999999997
COCHINSHIP, Industrials , Aerospace & Defense,Cochin Shipyard Limited,0.56076
COFFEEDAY, Consumer Cyclical , Restaurants,Coffee Day Enterprises Limited,0.49651199999999995
COLPAL, Consumer Defensive , Household & Personal Products,Colgate Palmolive (India) Limited,0.26872
COMPINFO, Technology , Electronics & Computer Distribution,Compuage Infocom Limited,1.624024
COMPUSOFT, Consumer Defensive , Education & Training Services,Compucom Software Limited,1.00585
CONCOR, Industrials , Railroads,Container Corporation of India Limited,0.7340089999999999
CONFIPET,  , ,Confidence Petroleum India Limited,1.146645
CONSOFINVT, Financial Services , Capital Markets,Consolidated Finvest & Holdings Limited,0.50117
CONTROLPR, Industrials , Business Equipment & Supplies,Control Print Limited,0.195397
CORALFINAC, Consumer Cyclical , Residential Construction,Coral India Finance & Housing Limited,0.183697
CORDSCABLE, Industrials , Electrical Equipment & Parts,Cords Cable Industries Limited,0.887285
COROMANDEL, Basic Materials , Agricultural Inputs,Coromandel International Limited,0.8046019999999999
COSMOFILMS, Consumer Cyclical , Packaging & Containers,Cosmo Films Limited,0.325273
COUNCODOS, Real Estate , Real Estate-Development,Country Condo's Limited,-0.23907899999999999
COX&KINGS, Consumer Cyclical , Travel Services,Cox & Kings Limited,1.553042
CREATIVE, Technology , Electronics & Computer Distribution,Creative Peripherals and Distribution Limited,1.548018
CREATIVEYE, Communication Services , Entertainment,Creative Eye Limited,0.24531899999999998
CREST, Financial Services , Financial Conglomerates,Crest Ventures Limited,0.974648
CRISIL, Financial Services , Financial Data & Stock Exchanges,CRISIL Limited,0.605304
CROMPTON, Consumer Cyclical , Furnishings Fixtures & Appliances,Crompton Greaves Consumer Electricals Limited,0.635838
CTE, Technology , Information Technology Services,Cambridge Technology Enterprises Limited,0.472308
CUB, Financial Services , Banks-Regional,City Union Bank Limited,0.728549
CUBEXTUB, Basic Materials , Copper,Cubex Tubings Limited,1.161076
CUMMINSIND, Industrials , Specialty Industrial Machinery,Cummins India Limited,0.583073
CUPID, Consumer Defensive , Household & Personal Products,Cupid Limited,0.190717
CYBERTECH, Technology , Information Technology Services,Cybertech Systems And Software Limited,0.412246
DAAWAT, Consumer Defensive , Packaged Foods,LT Foods Limited,1.0156
DABUR, Consumer Defensive , Household & Personal Products,Dabur India Limited,0.297581
DALMIASUG, Consumer Defensive , Confectioners,Dalmia Bharat Sugar and Industries Limited,2.081513
DAMODARIND, Consumer Cyclical , Textile Manufacturing,Damodar Industries Limited,0.51404
DATAMATICS, Industrials , Specialty Business Services,Datamatics Global Services Limited,0.863494
DBCORP, Communication Services , Publishing,D.B.Corp Limited,0.611934
DBL, Industrials , Engineering & Construction,Dilip Buildcon Limited,1.467783
DBREALTY, Real Estate , Real Estate-Development,D B Realty Limited,0.9656779999999999
DBSTOCKBRO, Financial Services , Capital Markets,DB (International) Stock Brokers Limited,0.132215
DCAL, Healthcare , Biotechnology,Dishman Carbogen Amcis Limited,0.9696239999999999
DCBBANK, Financial Services , Banks-Regional,DCB Bank Limited,0.37402399999999997
DCM, Consumer Cyclical , Textile Manufacturing,DCM  Limited,0.8030419999999999
DCMFINSERV, Financial Services , Credit Services,DCM Financial Services Limited,-0.7737900000000001
DCMSHRIRAM, Basic Materials , Specialty Chemicals,DCM Shriram Limited,1.195787
DCW, Basic Materials , Chemicals,DCW Limited,0.9664579999999999
DECCANCE, Basic Materials , Building Materials,Deccan Cements Limited,0.620124
DEEPAKFERT, Basic Materials , Chemicals,Deepak Fertilizers and Petrochemicals Corporation Limited,0.889625
DEEPAKNTR, Basic Materials , Chemicals,Deepak Nitrite Limited,0.951638
DEEPIND, Energy , Oil & Gas Equipment & Services,Deep Industries Limited,0.622464
DELTACORP, Consumer Cyclical , Resorts & Casinos,Delta Corp Limited,1.5780029999999998
DELTAMAGNT, Industrials , Specialty Industrial Machinery,Delta Manufacturing Limited,0.343603
DEN, Communication Services , Entertainment,Den Networks Limited,1.092433
DENORA, Industrials , Electrical Equipment & Parts,De Nora India Limited,1.347113
DFMFOODS, Consumer Defensive , Packaged Foods,DFM Foods Limited,0.708658
DHAMPURSUG, Consumer Defensive , Confectioners,Dhampur Sugar Mills Limited,1.994149
DHANBANK, Financial Services , Banks-Regional,Dhanlaxmi Bank Limited,0.777301
DHANUKA, Basic Materials , Agricultural Inputs,Dhanuka Agritech Limited,1.02223
DHARSUGAR, Consumer Defensive , Confectioners,Dharani Sugars & Chemicals Limited,1.124804
DHFL, Financial Services , Mortgage Finance,Dewan Housing Finance Corporation Limited,0.9204359999999999
DHUNINV, Financial Services , Capital Markets,Dhunseri Investments Limited,1.047191
DIAMONDYD, Consumer Defensive , Packaged Foods,Prataap Snacks Limited,0.63331
DIAPOWER, Industrials , Specialty Industrial Machinery,Diamond Power Infra Ltd,1.02223
DICIND, Basic Materials , Specialty Chemicals,DIC India Limited,0.364664
DIGISPICE, Technology , Information Technology Services,DiGiSPICE Technologies Limited,0.423946
DIGJAMLTD, Consumer Cyclical , Textile Manufacturing,Digjam Limited,0.53412
DISHTV, Communication Services , Entertainment,Dish TV India Limited,0.930577
DIVISLAB, Healthcare , Drug Manufacturers-Specialty & Generic,Divi's Laboratories Limited,0.039001
DIXON, Technology , Consumer Electronics,Dixon Technologies (India) Limited,0.724914
DLF, Real Estate , Real Estate-Diversified,DLF Limited,1.050702
DLINKINDIA, Technology , Communication Equipment,D-Link (India) Limited,0.7831509999999999
DMART, Consumer Defensive , Discount Stores,Avenue Supermarts Limited,0.123842
DNAMEDIA, Communication Services , Publishing,Diligent Media Corporation Limited,-0.25686000000000003
DOLAT, Financial Services , Capital Markets,Dolat Investments Limited,0.887675
DOLLAR, Consumer Cyclical , Apparel Manufacturing,Dollar Industries Limited,0.925716
DOLPHINOFF, Energy , Oil & Gas Equipment & Services,Dolphin Offshore Enterprises (India) Limited,0.38221499999999997
DONEAR, Consumer Cyclical , Textile Manufacturing,Donear Industries Limited,0.388845
DPSCLTD, Utilities , Utilities-Regulated Electric,DPSC Limited,0.384165
DPWIRES, Industrials , Metal Fabrication,D P Wires Limited,0.9795159999999999
DQE, Communication Services , Entertainment,DQ Entertainment (International) Limited,0.731669
DREDGECORP, Industrials , Engineering & Construction,Dredging Corporation of India Limited,1.451638
DRREDDY, Healthcare , Drug Manufacturers-Specialty & Generic,Dr. Reddy's Laboratories Limited,-0.043681
DSSL, Technology , Information Technology Services,Dynacons Systems & Solutions Limited,0.627145
DTIL, Consumer Defensive , Packaged Foods,Dhunseri Tea & Industries Limited,0.977379
DUCON, Industrials , Specialty Industrial Machinery,Ducon Infratechnologies Limited,0.421216
DVL, Financial Services , Capital Markets,Dhunseri Ventures Limited,0.529641
DWARKESH, Consumer Defensive , Confectioners,Dwarikesh Sugar Industries Limited,2.148985
DYNAMATECH, Consumer Cyclical , Auto Parts,Dynamatic Technologies Limited,0.849453
DYNPRO, Basic Materials , Specialty Chemicals,Dynemic Products Limited,0.662636
EASTSILK, Consumer Cyclical , Textile Manufacturing,Eastern Silk Industries Limited,0.949687
EASUNREYRL, Industrials , Specialty Industrial Machinery,Easun Reyrolle Limited,0.8065519999999999
EBIXFOREX, Financial Services , Capital Markets,EBIXCASH WORLD MONEY INDIA LIMITED,1.070982
ECLERX, Technology , Information Technology Services,eClerx Services Limited,0.75507
EDELWEISS, Financial Services , Capital Markets,Edelweiss Financial Services Limited,1.025741
EDL, Consumer Defensive , Beverages-Brewers,Empee Distilleries Limited,0.323712
EDUCOMP, Consumer Defensive , Education & Training Services,Educomp Solutions Limited,0.26872
EICHERMOT, Consumer Cyclical , Auto Manufacturers,Eicher Motors Limited,0.610764
EIDPARRY, Consumer Defensive , Confectioners,EID Parry India Limited,0.9165359999999999
EIHAHOTELS, Consumer Cyclical , Lodging,EIH Associated Hotels Limited,0.411076
EIHOTEL, Consumer Cyclical , Lodging,EIH Limited,1.044461
EIMCOELECO, Industrials , Farm & Heavy Construction Machinery,Eimco Elecon (India) Limited,0.815912
EKC, Industrials , Specialty Industrial Machinery,Everest Kanto Cylinder Limited,1.133385
ELECON, Industrials , Specialty Industrial Machinery,Elecon Engineering Company Limited,1.144305
ELECTCAST, Basic Materials , Steel,Electrosteel Castings Limited,0.913416
ELECTHERM, Industrials , Metal Fabrication,Electrotherm (India) Limited,0.5245700000000001
ELGIEQUIP, Industrials , Specialty Industrial Machinery,Elgi Equipments Limited,0.857644
ELGIRUBCO, Consumer Cyclical , Auto Parts,Elgi Rubber Company Limited,0.721918
EMAMILTD, Consumer Defensive , Household & Personal Products,Emami Limited,0.626365
EMAMIPAP,  , ,Emami Paper Mills Limited,0.625975
EMAMIREAL, Real Estate , Real Estate-Development,Emami Realty Limited,0.789781
EMCO, Industrials , Specialty Industrial Machinery,Emco Limited,0.7858809999999999
EMKAY, Financial Services , Capital Markets,Emkay Global Financial Services Limited,1.536271
EMMBI, Consumer Cyclical , Packaging & Containers,Emmbi Industries Limited,1.01716
ENDURANCE, Consumer Cyclical , Auto Parts,Endurance Technologies Limited,0.7763639999999999
ENERGYDEV, Utilities , Utilities-Regulated Electric,Energy Development Company Limited,0.328003
ENGINERSIN, Industrials , Engineering & Construction,Engineers India Limited,0.624414
ENIL, Communication Services , Broadcasting,Entertainment Network (India) Limited,0.564352
EON, Industrials , Specialty Industrial Machinery,Eon Electric Limited,0.653666
EQUITAS, Financial Services , Credit Services,Equitas Holdings Limited,1.135267
ERIS, Healthcare , Drug Manufacturers-Specialty & Generic,Eris Lifesciences Limited,0.820402
EROSMEDIA, Communication Services , Entertainment,Eros International Media Limited,1.243369
ESABINDIA, Industrials , Tools & Accessories,Esab India Limited,0.5588919999999999
ESCORTS, Industrials , Farm & Heavy Construction Machinery,Escorts Limited,0.8026519999999999
ESSARSHPNG, Industrials , Marine Shipping,Essar Shipping Limited,0.5308109999999999
ESSELPACK, Consumer Cyclical , Packaging & Containers,Essel Propack Limited,0.605304
ESTER, Basic Materials , Specialty Chemicals,Ester Industries Limited,0.796021
EUROCERA, Industrials , Building Products & Equipment,Euro Ceramics Limited,0.708658
EUROMULTI, Technology , Solar,Euro Multivision Limited,-0.445397
EUROTEXIND, Consumer Cyclical , Textile Manufacturing,Eurotex Industries and Exports Limited,0.35920399999999997
EVEREADY, Industrials , Electrical Equipment & Parts,Eveready Industries India Limited,0.932527
EVERESTIND, Industrials , Building Products & Equipment,Everest Industries Limited,0.8985949999999999
EXCEL, Industrials , Engineering & Construction,Excel Realty N Infra Limited,0.42589699999999997
EXCELINDUS, Basic Materials , Specialty Chemicals,Excel Industries Limited,1.295631
EXIDEIND, Consumer Cyclical , Auto Parts,Exide Industries Limited,0.50429
EXPLEOSOL, Technology , Information Technology Services,Expleo Solutions Limited,0.543291
FACT, Basic Materials , Agricultural Inputs,Fertilizers and Chemicals Travancore Limited,0.76482
FAIRCHEM, Basic Materials , Specialty Chemicals,Fairchem Speciality Limited,0.6735559999999999
FCL, Basic Materials , Specialty Chemicals,Fineotex Chemical Limited,2.029251
FCONSUMER, Consumer Defensive , Food Distribution,Future Consumer Limited,0.994929
FCSSOFT, Technology , Information Technology Services,FCS Software Solutions Limited,-2.149765
FDC, Healthcare , Drug Manufacturers-Specialty & Generic,FDC Limited,0.116224
FEDERALBNK, Financial Services , Banks-Regional,The Federal Bank  Limited,0.777301
FEL, Consumer Cyclical , Department Stores,Future Enterprises Limited,0.980499
FELDVR, Consumer Cyclical , Department Stores,Future Enterprises Limited,0.980499
FIEMIND, Consumer Cyclical , Auto Parts,Fiem Industries Limited,0.9450069999999999
FILATEX, Consumer Cyclical , Textile Manufacturing,Filatex India Limited,1.338533
FINCABLES, Industrials , Electrical Equipment & Parts,Finolex Cables Limited,1.047971
FINPIPE, Industrials , Building Products & Equipment,Finolex Industries Limited,0.6470349999999999
FLEXITUFF, Consumer Cyclical , Textile Manufacturing,Flexituff Ventures International Limited,1.720748
FLFL, Consumer Cyclical , Apparel Retail,Future Lifestyle Fashions Limited,1.334633
FMGOETZE, Consumer Cyclical , Auto Parts,Federal-Mogul Goetze (India) Limited.,0.8514039999999999
FMNL, Real Estate , Real Estate Services,Future Market Networks Limited,1.5748820000000001
FORCEMOT, Consumer Cyclical , Auto Manufacturers,FORCE MOTORS LTD,0.8010919999999999
FORTIS, Healthcare , Medical Care Facilities,Fortis Healthcare Limited,0.163416
FOSECOIND, Basic Materials , Chemicals,Foseco India Limited,0.721138
FRETAIL, Consumer Cyclical , Department Stores,Future Retail Limited,1.84579
FSC, Industrials , Integrated Freight & Logistics,Future Supply Chain Solutions Limited,1.38162
FSL, Technology , Information Technology Services,Firstsource Solutions Limited,0.642745
GABRIEL, Consumer Cyclical , Auto Parts,Gabriel India Limited,1.150156
GAEL, Consumer Defensive , Packaged Foods,Gujarat Ambuja Exports Limited,0.487129
GAIL, Utilities , Utilities-Regulated Gas,GAIL (India) Limited,0.680577
GAL, Basic Materials , Steel,Gyscoal Alloys Limited,0.75351
GALAXYSURF, Basic Materials , Specialty Chemicals,Galaxy Surfactants Limited,0.6144609999999999
GALLANTT, Basic Materials , Steel,Gallantt Metal Limited,0.562792
GALLISPAT, Basic Materials , Steel,Gallantt Ispat Limited,0.906786
GAMMNINFRA, Industrials , Infrastructure Operations,Gammon Infrastructure Projects Limited,1.718408
GANDHITUBE, Industrials , Metal Fabrication,Gandhi Special Tubes Limited,0.134165
GANECOS, Consumer Cyclical , Textile Manufacturing,Ganesha Ecosphere Limited,1.062792
GANESHHOUC, Real Estate , Real Estate-Development,Ganesh Housing Corporation Limited,1.035881
GANGESSECU, Consumer Defensive , Packaged Foods,Ganges Securities Limited,0.820577
GARDENSILK, Consumer Cyclical , Textile Manufacturing,Garden Silk Mills Limited,0.9691879999999999
GARFIBRES, Consumer Cyclical , Textile Manufacturing,Garware Technical Fibres Limited,0.39586499999999997
GATI, Industrials , Integrated Freight & Logistics,GATI Limited,0.8053819999999999
GAYAPROJ, Industrials , Engineering & Construction,Gayatri Projects Limited,1.25819
GBGLOBAL, Consumer Cyclical , Apparel Manufacturing,GB Global Limited,-1.081123
GDL, Industrials , Integrated Freight & Logistics,Gateway Distriparks Limited,0.31318199999999996
GEECEE, Real Estate , Real Estate-Development,GeeCee Ventures Limited,0.7539
GEEKAYWIRE, Industrials , Electrical Equipment & Parts,Geekay Wires Limited,-0.579247
GENESYS, Technology , Software-Application,Genesys International Corporation Limited,1.106864
GENUSPAPER, Basic Materials , Paper & Paper Products,Genus Paper & Boards Limited,0.7652100000000001
GENUSPOWER, Industrials , Electrical Equipment & Parts,Genus Power Infrastructures Limited,0.949687
